,single,danceability,energy,instrumentalness,explicit,collab,timesig_0,timesig_1,timesig_3,timesig_4,timesig_5,track_number,duration_s
6917,0,0.501,0.405,0.0,0,0,0,0,0,1,0,0.125,0.034548537515896566
2414,0,0.333,0.857,0.991,0,0,0,0,0,1,0,0.875,0.005086901229334464
4104,0,0.576,0.882,0.0292,0,0,0,0,0,1,0,0.20833333333333334,0.029037727850784227
1355,0,0.869,0.712,0.0,1,1,0,0,0,1,0,0.041666666666666664,0.05426027977956761
4636,1,0.88,0.882,0.000604,1,0,0,0,0,1,0,0.125,0.02373887240356083
9489,0,0.543,0.674,0.0,0,0,0,0,0,1,0,0.125,0.05447223399745655
6705,0,0.319,0.0201,0.72,0,0,0,0,1,0,0,0.37499999999999994,0.05320050869012293
1452,0,0.632,0.872,0.000365,0,0,0,0,0,1,0,0.24999999999999997,0.013988978380669776
6384,0,0.506,0.97,0.000693,0,0,0,0,0,1,0,0.9999999999999999,0.00953793980500212
4756,0,0.535,0.55,0.000105,1,0,0,0,0,1,0,0.5833333333333334,0.06464603645612547
5487,1,0.606,0.24,0.0,1,0,0,0,0,1,0,0.0,0.03815175922000848
7372,0,0.408,0.981,0.466,0,0,0,0,0,1,0,0.9999999999999999,0.013565069944891903
4039,1,0.631,0.927,0.119,0,1,0,0,0,1,0,0.0,0.04302670623145401
6927,1,0.585,0.471,0.0184,1,0,0,0,0,1,0,0.0,0.026070368800339125
8601,0,0.759,0.636,0.000143,1,0,0,0,0,1,0,0.16666666666666666,0.041331072488342516
8789,0,0.58,0.586,0.0,0,0,0,0,0,1,0,0.041666666666666664,0.03815175922000848
828,0,0.528,0.708,0.0,0,0,0,0,0,1,0,0.08333333333333334,0.05023314963967783
4688,0,0.539,0.908,0.925,0,0,0,0,0,1,0,0.9999999999999999,0.045570156846121236
6803,0,0.79,0.768,0.000947,1,0,0,0,0,1,0,0.125,0.02373887240356083
3315,0,0.573,0.902,0.415,0,0,0,0,0,1,0,0.7083333333333334,0.03242899533700721
334,0,0.597,0.267,0.0014,0,0,0,0,0,1,0,0.0,0.04599406528189911
3448,0,0.4,0.886,0.000211,0,0,0,0,0,1,0,0.08333333333333334,0.044298431538787625
8457,0,0.571,0.767,0.0,1,1,0,0,0,1,0,0.4583333333333333,0.03009749894022891
8874,0,0.532,0.876,0.0,0,0,0,0,0,0,1,0.5416666666666666,0.09283594743535396
6093,0,0.702,0.659,0.00201,0,1,0,0,0,1,0,0.49999999999999994,0.03984739296311997
2166,0,0.206,0.462,0.00565,0,0,0,0,0,1,0,0.5416666666666666,0.04302670623145401
9731,1,0.701,0.547,0.0,0,0,0,0,0,1,0,0.0,0.03963543874523103
4502,0,0.846,0.692,0.697,0,0,0,0,0,1,0,0.6666666666666666,0.02818991097922849
3322,0,0.72,0.412,0.0,1,0,0,0,0,1,0,0.125,0.05426027977956761
5627,0,0.372,0.656,0.0,1,0,0,0,0,1,0,0.20833333333333334,0.03433658329800763
8724,0,0.447,0.997,0.904,0,0,0,0,0,1,0,0.37499999999999994,0.07927087749046206
5036,0,0.393,0.582,0.162,0,0,0,0,0,1,0,0.29166666666666663,0.03666807969478593
1042,0,0.235,0.197,0.000151,0,0,0,0,1,0,0,0.29166666666666663,0.09431962696057651
9287,1,0.509,0.96,1.31e-06,0,0,0,0,0,1,0,0.0,0.028401865197117425
9845,0,0.728,0.592,0.0,0,0,0,0,0,1,0,0.37499999999999994,0.04387452310300975
7458,1,0.545,0.979,0.000118,0,0,0,0,0,1,0,0.0,0.04641797371767698
45,0,0.146,0.232,0.95,0,0,0,0,0,1,0,0.20833333333333334,0.20474777448071216
3695,0,0.504,0.952,0.85,0,0,0,0,0,1,0,0.9999999999999999,0.005086901229334464
1092,0,0.343,0.749,0.599,0,0,0,0,0,1,0,0.16666666666666666,0.0294616362865621
6864,0,0.251,0.141,0.813,0,0,0,1,0,0,0,0.6666666666666666,0.029037727850784227
